TIME,16850C,16850P,16900C,16900P,16950C,16950P,17000C,17000P,17050C,17050P,17100C,17100P,17150C,17150P,17200C,17200P,17250C,17250P,17300C,17300P,17350C,17350P,17400C,17400P,17450C,17450P,17500C,17500P,17550C,17550P,17600C,17600P,17650C,17650P,17700C,17700P,17750C,17750P,17800C,17800P
09:23,-11,518,-45,2360,-21,1890,-1401,215,-257,-400,-613,841,-951,1878,236,3421,171,3514,10796,11333,4838,10894,39586,40116,13951,5276,17120,5414,6647,-174,-2053,747,7164,646,7392,192,1437,4,2539,30
09:24,-11,518,-45,2360,-21,1890,-1401,215,-257,-400,-613,841,-951,1878,236,3421,171,3514,10796,11333,4838,10894,39586,40116,13951,5276,17120,5414,6647,-174,-2053,747,7164,646,7392,192,1437,4,2539,30
09:25,-11,518,-45,2360,-21,1890,-1401,215,-257,-400,-613,841,-951,1878,236,3421,171,3514,10796,11333,4838,10894,39586,40116,13951,5276,17120,5414,6647,-174,-2053,747,7164,646,7392,192,1437,4,2539,30
09:26,-42,6254,-25,2605,-1378,683,-272,-1660,-654,2639,-898,3114,920,5012,764,8208,14295,13074,8944,16903,52209,44864,17976,6165,26796,6498,6852,163,-3980,772,12230,641,8698,79,3893,14,4963,50,3799,201
09:28,-42,6254,-25,2605,-1378,683,-328,-1660,-654,2639,-898,3114,1278,5012,764,8208,14295,13074,8944,16903,52209,44864,17976,6165,26796,6498,6852,163,-3980,772,12230,641,8698,79,3893,14,6131,50,3799,201
09:28,-9,175,-42,6254,-25,2605,-1294,2963,-328,-604,-833,2743,-948,3917,1278,6042,178,8208,15929,13074,10993,16903,60658,44864,20743,6165,29876,6498,7425,255,-1527,749,15699,641,9074,79,4566,14,6131,50
09:30,-8,-875,-50,8186,-40,5124,-1294,2963,-328,-604,-833,2743,-948,3917,1278,6042,178,9781,15929,17023,10993,20504,60658,49100,20743,7233,29876,7958,7425,255,-1527,749,15699,660,9074,171,4566,5,6131,60
09:31,-8,-875,-50,8186,-40,5124,-1294,2963,-328,-604,-833,2743,-948,3917,1278,6042,178,9781,15929,17023,10993,20504,60658,49100,20743,7233,29876,7958,7425,255,-1527,749,15699,660,9074,171,4566,5,6131,60
09:32,-3,-875,-50,8186,-40,7131,-1109,2563,-401,18,-833,3578,-990,4547,2221,6326,1464,10572,21008,14347,10993,21503,60658,48619,20743,7873,36531,7958,10330,441,-1527,986,17519,606,11510,12,4566,5,8931,75
09:33,-3,-867,-55,8581,-53,7131,-1109,2563,-401,18,-794,3578,-990,4547,2221,6326,1464,10572,21008,14347,16312,21503,73930,48619,24280,7873,36531,7376,10330,441,345,986,17519,606,11510,12,7975,-20,8931,75
09:34,-3,-867,-55,8581,-53,7131,-1000,2563,-401,18,-607,3578,-739,4547,3529,6326,1812,10572,26523,14347,21375,21503,80228,48619,37522,7873,44790,7376,10181,441,4166,986,19584,606,12673,12,11632,-20,17848,75
09:35,-3,-867,-55,8581,-53,7131,-1000,2563,-401,18,-607,3578,-739,4547,3529,6326,1812,10572,26523,14347,21375,21503,80228,48619,37522,7873,44790,7376,10181,441,4166,986,19584,606,12673,12,11632,-20,17848,75
09:36,-3,-867,-55,8581,-53,7131,-1000,2563,-401,18,-607,3578,-739,4547,3529,6326,1812,10572,26523,14347,21375,21503,80228,48619,37522,7873,44790,7376,10181,441,4166,986,19584,606,12673,12,11632,-20,17848,75
09:37,-1,-1112,-62,9520,-73,8838,-1000,2664,-529,695,-662,4919,-739,3201,3529,6652,1812,10835,28182,12611,23570,23466,83661,48419,41208,8450,47592,7754,10181,215,5314,1114,21505,524,12673,5,11632,-20,17848,12
09:38,-1,-1112,-62,9520,-73,8838,-1000,2664,-529,695,-662,4919,-739,3201,3529,6652,1812,10835,28182,12611,23570,23466,83661,48419,41208,8450,47592,7754,10181,215,5314,1114,21505,524,12673,5,11632,-20,17848,12
09:39,-1,-1621,-62,10738,-73,10985,-1000,4077,-529,695,-662,6981,-572,3201,3847,7926,2003,11646,28182,13541,23570,26064,83661,51319,41208,9340,47592,7754,10809,514,5314,1114,21505,481,14897,29,12007,-31,24538,12
09:40,0,-1621,-62,10738,-74,10985,-1000,4077,-529,695,-662,6981,-572,3201,3847,7926,2003,11646,28182,13541,23570,26064,86820,51319,41208,9340,47592,7754,10809,514,5314,1114,21505,481,14897,29,12007,-31,24538,12
09:41,0,-1621,-62,10738,-74,10985,-1000,4077,-529,695,-662,6981,-572,3201,3847,7926,2003,11646,28182,13541,23570,26064,86820,51319,41208,9340,47592,7754,10809,514,5314,1114,21505,481,14897,29,12007,-31,24538,12
09:42,-1,-2782,-68,11826,-74,12470,-1085,4559,-531,1277,-199,6820,-572,3493,3899,9596,2748,12296,30040,13563,26448,28028,86820,49615,44288,10205,51550,7339,11030,1067,5828,1338,23385,395,16821,5,15160,-39,31755,72
09:43,-1,-2782,-68,11826,-74,12470,-1085,4656,-531,1277,-199,5608,-647,3493,3899,11177,2748,11497,30040,12459,26448,29046,86820,48424,44288,10205,51550,7339,11030,1067,5828,1338,23385,395,19567,5,15160,-39,31755,72
09:44,-1,-3474,-74,12620,-90,13758,-1081,4656,-568,983,-106,5608,-647,3568,5020,11177,2463,11497,32203,12459,27836,29046,88165,48424,49782,11560,54064,7036,10912,1271,6229,1008,22570,288,19567,-36,15723,-39,36014,31
09:45,5,-3474,-74,12620,-90,13758,-1081,4656,-568,983,-106,5608,-647,3568,5020,11177,2463,11497,32203,12459,27836,29046,88165,48424,49782,11560,54064,7036,10912,1271,6229,1008,22570,288,19567,-36,15723,-28,36014,31
09:46,5,-3474,-74,12620,-90,13758,-1081,4656,-568,983,-106,5608,-647,3568,5020,11177,2463,11497,32203,12459,27836,29046,88165,48424,49782,11560,54064,7036,10912,1271,6229,1008,22570,288,19567,-36,15723,-28,36014,31
09:47,5,-3474,-74,12620,-90,13758,-1081,4656,-568,983,-106,5608,-647,3568,5020,11177,2463,11497,32203,12459,27836,29046,88165,48424,49782,11560,54064,7036,10912,1271,6229,1008,22570,288,19567,-36,15723,-28,36014,31
09:48,-74,12650,-91,14205,-1052,6898,-562,1514,-370,5781,-645,4931,6075,13552,2166,13449,34416,16997,28805,29552,91382,49788,50762,12019,53118,7467,11503,1276,8763,1108,22094,323,20059,-64,16877,60,39980,151,8453,175
09:49,-74,11892,-87,14295,-1116,6808,-608,3194,-507,7058,-998,4502,5009,13913,2667,14875,30274,17630,25455,31339,85384,56437,49397,12643,50437,8220,10977,1297,8590,1024,20082,281,24076,7,16562,34,38982,146,8469,175
09:50,-74,11892,-87,14295,-1116,6808,-608,3194,-507,7058,-998,4502,5009,13913,2667,14875,30274,17630,25455,31339,85384,56437,49397,12643,50437,8220,10977,1297,8590,1024,20082,281,24076,7,16562,34,38982,146,8469,175
09:51,-74,11892,-87,14295,-1116,6808,-608,3194,-507,7058,-998,4502,5009,13913,2667,14875,30274,17630,25455,31339,85384,56437,49397,12643,50437,8220,10977,1297,8590,1024,20082,281,24076,7,16562,34,38982,146,8469,175
09:52,-74,11892,-87,14295,-1116,6808,-608,3194,-507,7058,-998,4502,5009,13913,2667,14875,30274,17630,25455,31339,85384,56437,49397,12643,50437,8220,10977,1297,8590,1024,20082,281,24076,7,16562,34,38982,146,8469,170
09:54,-75,11935,-90,15089,-1179,6694,-623,3120,-545,8988,-1038,4602,4178,15613,2737,16469,30129,20094,25716,33097,84210,58376,49066,13639,50029,9688,11502,1297,7170,996,20172,226,24595,68,16044,39,39094,148,8363,168
09:54,24,-2336,-75,11935,-90,15089,-1179,6694,-623,3120,-545,8988,-1038,4602,4178,15613,2737,16469,30129,20094,25716,33097,84210,58376,49066,13639,50029,9688,11502,1295,7170,996,20172,226,24595,68,16044,39,39094,148
09:56,24,-2074,-61,12248,-91,14833,-1132,7808,-624,3544,-496,10219,-1066,4891,4534,16345,2745,17264,29850,22420,27287,33172,84977,59858,49279,13832,50579,10170,12140,1589,7420,1072,20659,213,25092,70,15823,44,39498,153
09:56,24,-2074,-61,12248,-91,14833,-1132,7808,-624,3544,-496,10219,-1066,4891,4534,16345,2745,17264,29850,22420,27287,33172,84977,59858,49279,13832,50579,10170,12140,1589,7420,1072,20659,213,25092,70,15823,44,39498,153
09:58,24,-2074,-61,12248,-91,14833,-1132,7808,-624,3544,-496,10219,-1066,4891,4534,16345,2745,17264,29850,22420,27287,33172,84977,59858,49279,13832,50579,10170,12140,1589,7420,1072,20659,213,25092,70,15823,44,39498,153
09:59,29,-2074,-61,12248,-91,14833,-1132,7808,-624,3544,-496,10219,-1066,4891,4534,16345,2745,17264,29850,22420,27287,33172,84977,59858,49279,13832,50579,10170,12140,1589,7420,1072,20659,213,25092,70,15823,44,39498,153
10:00,31,-1857,-62,11840,-95,14854,-1100,8147,-627,3875,-406,11200,-1074,4756,2089,16438,2518,17585,29154,23063,27168,33389,82203,59968,48921,14189,52556,10574,11401,1502,7362,946,20300,229,25990,16,16469,44,40099,150
10:01,31,-1857,-62,11840,-95,14854,-1100,8147,-627,3875,-406,11200,-1074,4756,2089,16438,2518,17585,29154,23063,27168,33389,82203,59968,48921,14189,52556,10574,11401,1502,7362,946,20300,229,25990,16,16469,44,40099,150
10:02,31,-1857,-62,11840,-95,14854,-1100,8147,-627,3875,-406,11200,-1074,4756,2089,16438,2518,17585,29154,23063,27168,33389,82203,59968,48921,14189,52556,10574,11401,1502,7362,946,20300,229,25990,16,16469,44,40099,150
10:03,31,-1857,-62,11840,-95,14854,-1100,8147,-627,3875,-406,11200,-1074,4756,2089,16438,2518,17585,29154,23063,27168,33389,82203,59968,48921,14189,52556,10574,11401,1502,7362,946,20300,229,25990,16,16469,44,40099,150
10:04,30,-1616,-62,12257,-95,15196,-1174,8765,-620,3820,905,11782,-1110,5246,1497,17596,2721,17508,27406,23340,27614,34501,84287,60902,49050,14014,53522,10445,12091,1609,8623,887,21261,221,26797,11,16309,44,40130,162
10:05,30,-1923,-62,13481,-95,15532,-1076,8250,-620,3820,905,13909,-1110,5246,1202,17875,2721,18378,27406,24568,27614,35585,84287,62501,49050,14014,53522,10445,12091,1589,8623,923,21384,178,28291,-20,16557,44,40130,188
10:06,30,-1923,-66,13481,-95,15532,-1076,8250,-621,3893,85,13909,-1171,5457,1202,17875,2661,18378,27576,24568,29148,35585,88197,62501,50053,14690,57117,11230,12935,1589,8904,923,21384,178,28291,-20,16557,49,40469,188
10:07,30,-1923,-66,13481,-99,15532,-1076,8250,-621,3893,85,13909,-1171,5457,1202,17875,2661,18378,27576,24568,29148,35585,88197,62501,50053,14690,57117,11230,12935,1589,8904,923,21384,178,28291,-20,16557,49,40469,188
10:08,30,-1923,-66,13481,-99,15532,-1076,8250,-621,3893,85,13909,-1171,5457,1202,17875,2661,18378,27576,24568,29148,35585,88197,62501,50053,14690,57117,11230,12935,1589,8904,923,21384,178,28291,-20,16557,49,40469,188
10:09,30,-1978,-68,14411,-101,15375,-1062,8303,-627,4084,134,15347,-1150,5711,1264,18209,2671,18310,27253,24613,30157,35351,88368,64424,50633,15597,58199,11770,12408,1646,9919,1048,21795,152,29384,-23,16658,53,40940,206
10:10,30,-1978,-68,14411,-101,15375,-1062,8303,-627,4084,134,15347,-1150,5711,1264,18209,2671,18310,27253,24613,30157,35351,88368,64424,50633,15597,58199,11770,12408,1646,9919,1048,21795,152,29384,-23,16658,53,40940,206
10:11,30,-1978,-68,14411,-101,15375,-1095,8303,-627,4084,134,15347,-1144,5711,1036,18209,2671,18310,27253,24613,30157,35351,88368,64424,50633,15597,58199,11770,12408,1646,9919,1048,21795,152,29384,-23,16658,53,40940,206
10:12,30,-1803,-68,14606,-104,15312,-1095,8749,-604,4672,165,15782,-1144,5793,1036,18444,2725,18454,26631,23316,31090,35702,90648,65585,50705,15139,57925,12259,12418,1788,10620,925,21885,120,29570,-47,16586,52,41379,206
10:13,30,-1803,-68,14606,-104,15312,-1095,8749,-604,4672,165,15782,-1144,5793,1036,18444,2725,18454,26631,23316,31090,35702,90648,65585,50705,15139,57925,12259,12418,1788,10620,925,21885,120,29570,-47,16586,52,41379,206
10:14,25,-1342,-68,14998,-104,15312,-1095,9680,-610,4974,165,17562,-1144,5622,1036,19423,2725,18456,26631,25506,31090,36422,90648,68265,50705,15139,57925,12259,12418,1788,10620,979,22222,138,29570,-41,17544,52,41379,207
10:15,25,-1342,-68,14998,-104,15276,-1095,9680,-610,4974,165,17562,-1144,5622,1036,19423,2789,18456,26631,25506,31090,36422,90648,68265,50705,15139,57925,12259,12418,1788,10620,979,22222,138,29570,-41,17544,52,41379,207
10:16,25,-1342,-83,14998,-106,15276,-1101,9680,-610,4974,158,17562,-1117,5622,912,19423,2789,18456,25604,25506,30291,36422,91480,68265,50495,14980,58081,13232,11907,1963,10881,979,22222,138,30625,-41,17544,52,41807,207
10:17,25,-1733,-83,15116,-107,15269,-1125,9338,-613,5323,129,17915,-1116,5702,961,19922,2746,18323,24381,24917,30159,36368,91438,69612,50587,14732,57844,13929,12229,2271,11462,1014,22453,160,31041,-25,17655,52,41443,205
10:18,25,-1733,-83,15116,-107,15269,-1125,9338,-613,5323,129,17915,-1116,5702,961,19922,2746,18323,24381,24917,30159,36368,91438,69612,50587,14732,57844,13929,12229,2271,11462,1014,22453,160,31041,-25,17655,52,41443,205
10:19,22,-1733,-83,15116,-107,15269,-1125,9338,-613,5323,129,17915,-1116,5702,961,19922,2746,18323,24381,24917,30159,36368,91438,69612,50587,14732,57844,13929,12229,2271,11462,1014,22453,160,31041,-25,17655,52,41443,205
10:20,22,-1733,-85,15116,-119,15269,-1125,9338,-606,5323,172,17915,-1116,5702,961,19922,2746,18323,24381,24917,30159,36368,91438,69612,50587,14732,57844,13929,12229,2271,11462,1175,22136,160,31041,-25,17655,49,41443,205
10:21,20,-1922,-85,15688,-119,15174,-1204,9166,-606,4746,172,17821,-1179,5805,688,19835,2532,17976,21578,23631,29457,36735,91797,70599,50757,14851,57572,13360,11635,2148,10689,1175,22136,172,32366,-23,17463,49,39561,207
10:22,20,-1922,-85,15688,-119,15174,-1204,9166,-606,4746,172,17821,-1179,5805,688,19835,2532,17976,21578,23631,29457,36735,91797,70599,50757,14851,57572,13360,11635,2148,10689,1175,22136,172,32366,-23,17463,49,39561,207
10:23,20,-1887,-80,15552,-120,15473,-1217,9366,-599,4820,1615,17733,-1168,6289,921,20095,2303,18183,20802,24869,30848,37274,94323,72056,51367,15662,58634,13733,11904,2224,11288,1259,22973,163,32752,-4,17464,34,39045,216
10:24,20,-1887,-80,15552,-120,15473,-1217,9366,-599,4820,1615,17733,-1168,6289,921,20095,2303,18183,20802,24869,30848,37274,94323,72056,51367,15662,58634,13733,11904,2224,11288,1259,22973,163,32752,-4,17464,34,39045,216
10:25,-80,15552,-120,15473,-1217,9366,-599,4820,1615,17733,-1168,6289,921,20095,2303,18183,20802,24869,30848,37274,94323,72056,51367,15662,58634,13733,11904,2224,11288,1259,22973,163,32752,-4,17464,34,39045,216,9725,131
10:26,-80,16921,-120,15007,-1217,9366,-608,4820,1615,17733,-1168,6289,921,20095,2560,18183,20802,24869,30848,37274,94323,72056,51367,15662,58634,13733,11182,2113,11288,1259,22973,163,32752,-4,17476,34,39045,216,9725,131
10:27,19,-1550,-90,16921,-123,15007,-1200,9119,-608,4812,556,18021,-1106,6652,103,20257,2560,17654,19653,24735,28084,38250,92647,73373,51319,15635,58287,13666,11182,2113,10035,1295,23211,155,33874,31,17476,34,38545,217
10:28,19,-1550,-90,16921,-123,15007,-1200,9119,-608,4812,556,18021,-1106,6652,103,20257,2560,17654,19653,24735,28084,38250,92647,73373,51319,15635,58287,13666,11182,2113,10035,1295,23211,155,33874,31,17476,34,38545,217
10:29,19,-2338,-92,17286,-126,14910,-1181,9672,-605,4985,542,17936,-1143,6417,93,20756,2286,18183,21469,24932,27241,38750,93228,74903,51233,15888,59461,14144,11443,2142,10886,1201,24130,132,34021,49,17772,34,41201,196
10:30,19,-2338,-92,17286,-126,14910,-1181,9672,-605,4985,542,17936,-1143,6417,93,20756,2286,18183,21469,24932,27241,38750,93228,74903,51233,15888,59461,14144,11443,2142,10886,1201,24130,132,34021,49,17772,34,41201,196
10:31,19,-2338,-92,17286,-126,14910,-1181,9672,-605,4985,542,17936,-1143,6417,93,20756,2286,18183,21469,24932,27241,38750,93228,74903,51233,15888,59461,14144,11443,2142,10886,1201,24130,132,34021,49,17772,34,41201,196
10:32,18,-2338,-92,17286,-126,14910,-1181,9672,-605,4985,542,17936,-1143,6417,93,20756,2286,18183,21469,24932,27241,38750,93228,74903,51233,15888,59461,14144,11443,2142,10886,1201,24130,132,34021,49,17772,34,41201,196
10:34,18,-2390,-95,17292,-130,14654,-1196,10478,-610,4850,620,18067,-1176,6496,172,20766,2284,18266,20876,23879,28354,38111,93789,74817,53716,15832,59970,13861,10538,2155,10793,1198,24590,130,34099,135,17871,26,41208,194
10:34,18,-2746,-95,18391,-130,14641,-1195,11036,-607,4293,508,17813,-1224,6788,354,21247,2290,18460,17991,23632,29249,37561,93588,74995,53777,15618,61323,13933,10400,2265,10920,1449,25382,141,34528,62,17621,36,43567,193
10:35,18,-2746,-95,18391,-130,14641,-1195,11036,-607,4293,508,17813,-1224,6788,354,21247,2290,18460,17991,23632,29249,37561,93588,74995,53777,15618,61323,13933,10400,2265,10920,1449,25382,141,34528,62,17621,36,43567,193
10:37,18,-2746,-95,18391,-130,14641,-1195,11036,-607,4293,508,17813,-1224,6788,354,21247,2290,18460,17991,23632,29249,37561,93588,74995,53777,15618,61323,13933,10400,2265,10920,1449,25382,141,34528,62,17621,36,43567,193
10:37,16,-2854,-95,19171,-131,14214,-1177,10912,-607,3791,1549,18228,-1236,6700,1041,22141,2510,18540,16665,23527,30853,37060,94544,74877,54195,15775,64831,14285,9896,2226,9843,1593,27129,141,35133,142,17942,36,47174,193
